,smile_ratio,times
0,1.841,2019-03-29 16:40:33.864719
1,4.882,2019-03-29 16:40:34.578810
2,4.2,2019-03-29 16:40:34.773289
3,6.308,2019-03-29 16:40:34.974752
4,5.4,2019-03-29 16:40:35.150283
5,4.316,2019-03-29 16:40:35.379669
6,8.4,2019-03-29 16:40:35.547219
7,5.786,2019-03-29 16:40:35.727740
8,5.6,2019-03-29 16:40:35.896288
9,6.75,2019-03-29 16:40:36.061844
10,4.611,2019-03-29 16:40:36.242364
11,5.533,2019-03-29 16:40:36.426870
12,5.125,2019-03-29 16:40:36.594424
13,6.917,2019-03-29 16:40:36.766958
14,4.556,2019-03-29 16:40:37.078127
15,4.263,2019-03-29 16:40:37.245680
16,5.857,2019-03-29 16:40:37.411236
17,4.824,2019-03-29 16:40:37.581703
18,4.5,2019-03-29 16:40:40.151840
19,3.95,2019-03-29 16:40:40.318388
20,5.062,2019-03-29 16:40:40.485945
21,3.773,2019-03-29 16:40:40.722310
22,4.0,2019-03-29 16:40:40.914792
23,5.412,2019-03-29 16:40:41.118253
24,4.889,2019-03-29 16:40:41.292784
25,3.52,2019-03-29 16:40:41.490256
26,3.667,2019-03-29 16:40:41.682742
27,5.857,2019-03-29 16:40:41.851292
